id,name,address,city,state,zip,telephone,type,status,population,county,country,lat,long,naics_code,naics_desc,source,sourcedate,val_date,website,alt_name,owner,beds,trauma,helipad,overall_type
3829406,Healthsouth Rehabilitation Hospital Of Charleston,9181 Medcom St,North Charleston,SC,29406,(843) 820-7762,Rehabilitation,open,46,Charleston,USA,32.975799319,-80.069978431,622310,"Rehabilitation Hospitals (Except Alcoholism, Drug Addiction)",http://www.scdhec.gov/Health/FHPF/HealthFacilityRegulationsLicensing/HealthcareFacilityLicensing/LicensedFacilitiesbyType/,2018-08-10T00:00:00.000Z,2013-10-03T00:00:00.000Z,http://www.healthsouthcharleston.com,NA,Proprietary,46,NA,N,hospital
11029303,Spartanburg Rehabilitation Institute,160 Harold Fleming Ct,Spartanburg,SC,29303,(864) 594-9600,Rehabilitation,open,40,Spartanburg,USA,34.9896574310001,-81.942460234,622310,"Rehabilitation Hospitals (Except Alcoholism, Drug Addiction)",http://www.scdhec.gov/Health/FHPF/HealthFacilityRegulationsLicensing/HealthcareFacilityLicensing/LicensedFacilitiesbyType/,2018-08-10T00:00:00.000Z,2016-10-27T00:00:00.000Z,http://sri.ernesthealth.com/,NA,Proprietary,40,NA,N,hospital
2929505,Women's Center Of Carolinas Hospital System,1590 Freedom Blvd,Florence,SC,29505,(843) 674-2500,Women,open,20,Florence,USA,34.1614199300001,-79.7531218139999,622310,Maternity Hospitals,http://www.scdhec.gov/Health/FHPF/HealthFacilityRegulationsLicensing/HealthcareFacilityLicensing/LicensedFacilitiesbyType/,2018-08-10T00:00:00.000Z,2014-03-12T00:00:00.000Z,http://www.carolinashospital.com,NA,Proprietary,20,NA,Y,hospital
1298816,Lake Chelan Community Hospital,503 Highland Ave E,Chelan,WA,98816,(509) 682-2531,Critical Access,open,25,Chelan,USA,47.844970178,-120.00961263,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,lakechelancommunityhospital.com,okanogan-douglas district hospital,Government - District/Authority,25,LEVEL IV,N,hospital
324450,Carilion Stonewall Jackson Hospital,1 Health Circle,Lexington,VA,24450,(540) 458-3300,Critical Access,open,25,Lexington,USA,37.7785170700001,-79.440954961,622110,General Medical And Surgical Hospitals,http://www.vhi.org,2018-08-09T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.carilionclinic.org/Carilion/csjh,NA,Non-Profit,25,NA,Y,hospital
2129672,Ghs Oconee Memorial Hospital,298 Memorial Dr,Seneca,SC,29672,(864) 885-7191,General Acute Care,open,169,Oconee,USA,34.6955306900001,-82.98721979,622110,General Medical And Surgical Hospitals,http://www.scdhec.gov/Health/FHPF/HealthFacilityRegulationsLicensing/HealthcareFacilityLicensing/LicensedFacilitiesbyType/,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,https://www.ghs.org/locations/oconee-medical-campus/,NA,Proprietary,169,NA,N,hospital
5599166,Ferry County Memorial Hospital,36 North Klondike Road,Republic,WA,99166,(509) 775-3333,Critical Access,open,25,Ferry,USA,48.6530413740001,-118.731400912,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.fcphd.org,north valley hospital,Government - District/Authority,25,LEVEL V,Y,hospital
9598663,Southwest Washington Medical Center - Memorial Campus,3400 Main Street,Vancouver,WA,98663,(360) 696-5232,General Acute Care,closed,NA,Clark,USA,45.6461262220001,-122.669888669,622110,General Medical And Surgical Hospitals,http://www.doh.wa.gov/DataandStatisticalReports/HealthcareinWashington/HospitalandPatientData/HospitalFinancialData.aspx,2012-08-02T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.swmedctr.com,NA,Non-Profit,NA,NA,N,hospital
16643078,Mercy Memorial Hospital,904 Scioto Street,Urbana,OH,43078,(937) 653-5231,Critical Access,open,8,Champaign,USA,40.1085219560001,-83.7299200799999,622110,General Medical And Surgical Hospitals,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,2014-03-12T00:00:00.000Z,http://www.health-partners.org,NA,Non-Profit,8,NA,Y,hospital
30576054,Cook Children's Northeast Hospital,6316 Precinct Line Road,Hurst,TX,76054,(817) 605-2500,Children,open,3,Tarrant,USA,32.8632298260001,-97.1854156799999,622110,"Children's Hospitals, General",http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,2018-08-11T00:00:00.000Z,2014-02-04T00:00:00.000Z,http://www.cookchildrens.org/AboutUs/Companies/Pages/NortheastHospital.aspx,NA,Proprietary,3,NA,N,hospital
58675219,Texas Scottish Rite Hospital For Children,2222 Welborn Street,Dallas,TX,75219,(214) 559-5000,Children,open,100,Dallas,USA,32.8019769000001,-96.81431331,622110,"Children's Hospitals, General",http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,2018-08-11T00:00:00.000Z,2014-03-12T00:00:00.000Z,http://www.tsrhc.org,NA,Non-Profit,100,NA,Y,hospital
73175024,Childrens Medical Center Plano,7601 Preston Road,Plano,TX,75024,(469) 303-7000,Children,open,72,Collin,USA,33.078530492,-96.800444967,622110,"Children's Hospitals, General",http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,2018-08-11T00:00:00.000Z,2016-11-30T00:00:00.000Z,https://www.childrens.com/location-landing/locations-and-directions/childrens-health-plano,NA,Proprietary,72,LEVEL IV,Y,hospital
1898433,Va Puget Sound Health Care System - American Lake Division,9900 Veterans Drive Sw,Tacoma,WA,98433,(253) 582-8440,Military,open,203,Pierce,USA,47.133300558,-122.578496042,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.pugetsound.va.gov/,NA,Government - Federal,203,NA,N,hospital
4098411,Puget Sound Behavioral Health,215 S 36th St,Tacoma,WA,98411,(253) 798-4500,Psychiatric,closed,130,Pierce,USA,47.226914879,-122.435121543,622210,"Hospitals, Psychiatric (Except Convalescent)",http://www.doh.wa.gov/DataandStatisticalReports/HealthcareinWashington/HospitalandPatientData/HospitalFinancialData.aspx,2012-08-02T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://psbmed.com/,NA,Proprietary,130,NA,N,hospital
6098494,Western State Hospital,9601 Steilacoom Boulevard Sw,Lakewood,WA,98498,(253) 582-8900,Psychiatric,open,659,Pierce,USA,47.178319985,-122.565734981,622210,Psychiatric And Substance Abuse Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,https://www.dshs.wa.gov/bha/division-state-hospitals/western-state-hospital,NA,Government - State,659,NA,N,hospital
12323666,Sentara Careplex Hospital,3000 Coliseum Drive,Hampton,VA,23666,(757) 736-1000,General Acute Care,open,200,Hampton,USA,37.057292225,-76.39033356,622110,General Medical And Surgical Hospitals,http://www.vhi.org,2018-08-09T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.sentara.com/HospitalsFacilities/Hospitals/CarePlex/Pages/careplex.aspx,NA,Non-Profit,200,NA,Y,hospital
224445,Bath County Community Hospital,106 Park Lane,Hot Springs,VA,24445,(540) 839-7000,Critical Access,open,25,Bath,USA,37.9929071990001,-79.832030613,622110,General Medical And Surgical Hospitals,http://www.vhi.org,2018-08-09T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.bathhospital.org,NA,Non-Profit,25,NA,Y,hospital
122939,Augusta Medical Center,78 Medical Center Drive,Fishersville,VA,22939,(540) 332-4000,General Acute Care,open,255,Augusta,USA,38.0945244050001,-78.986837327,622110,General Medical And Surgical Hospitals,http://www.vhi.org,2018-08-09T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.augustahealth.com,NA,Non-Profit,255,NA,Y,hospital
199022,Eastern State Hospital,850 Maple St,Medical Lake,WA,99022,(509) 299-4351,Psychiatric,open,195,Spokane,USA,47.5731456330001,-117.693950677,622210,Psychiatric And Substance Abuse Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,https://www.dshs.wa.gov/bha/division-state-hospitals/eastern-state-hospital-overview,NA,Government - State,195,NA,N,hospital
16144512,St Elizabeth Boardman Health Center,8401 Market Street,Boardman,OH,44512,(330) 729-2929,General Acute Care,open,246,Mahoning,USA,40.994884976,-80.6600284099999,622110,General Medical And Surgical Hospitals,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.mercy.com/Youngstown/ho_sebhc.aspx,NA,Non-Profit,246,NA,Y,hospital
1999207,Providence Holy Family Hospital,5633 N. Lidgerwood St,Spokane,WA,99207,(509) 482-0111,General Acute Care,open,272,Spokane,USA,47.709754423,-117.406725032,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.providence.org,shriners hospital for crippled children-spokane unit,Non-Profit,272,LEVEL III,Y,hospital
3699204,Shriners Hospital For Children,911 W. 5th Avenue,Spokane,WA,99204,(509) 455-7844,Children,open,30,Spokane,USA,47.6509024120001,-117.425671156,622110,"Children's Hospitals, General",https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.shrinershospitalsforchildren.org/,deaconess medical center,Non-Profit,30,NA,Y,hospital
4199202,Daybreak Of Spokane,628 South Cowley,Spokane,WA,99202,(509) 624-3227,Rehabilitation,closed,34,Spokane,USA,47.650243061,-117.408561258,622210,"Hospitals, Addiction",http://www.doh.wa.gov/DataandStatisticalReports/HealthcareinWashington/HospitalandPatientData/HospitalFinancialData.aspx,2012-08-02T00:00:00.000Z,2014-02-10T00:00:00.000Z,https://daybreakyouthservices.org/,NA,Non-Profit,34,NA,N,hospital
