Code,Item,Group,Region_Number,Region_Name,State_Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average_Annual_Percent_Growth
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,88921,103417,116453,126856,136250,144510,151334,158293,171259,186920,208405,230060,249418,270729,287552,283306,301114,317858,346200,365756,373888,388450,406423,446703,7.3
1,Medicaid/Personal Health Care (Millions of Dollars),Region,1,New England,,6676,7418,7768,8896,9917,9893,11035,11792,12517,13199,14340,15925,16223,17818,18902,18473,19681,21006,23201,23281,23738,25439,26001,28084,6.4
1,Medicaid/Personal Health Care (Millions of Dollars),Region,2,Mideast,,24821,28301,30979,33776,36246,39010,40094,42249,45627,49111,51658,57697,63156,66950,71082,71537,73411,76226,81163,84424,88853,87562,89037,96430,6.1
1,Medicaid/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,13820,16525,18627,19492,20502,21889,23159,22560,24675,26925,29992,32311,34763,36955,40149,37738,41673,43225,49223,51889,49721,52409,56988,62010,6.7
1,Medicaid/Personal Health Care (Millions of Dollars),Region,4,Plains,,5548,6569,7205,7910,8380,8867,9075,9870,10487,12048,13162,14994,15817,17503,18404,18407,19460,20511,22277,23121,24138,25630,26311,28065,7.3
1,Medicaid/Personal Health Care (Millions of Dollars),Region,5,Southeast,,17662,21016,24393,26765,28885,29684,31317,32793,34806,39843,46340,50232,54493,61422,63139,60961,64879,68525,73671,78432,78795,81259,83817,90775,7.4
1,Medicaid/Personal Health Care (Millions of Dollars),Region,6,Southwest,,6828,8380,9596,10587,11171,12026,12273,12657,13690,14528,16757,19581,21767,24077,26917,27547,30529,32854,37152,40173,40642,40160,42035,47073,8.8
1,Medicaid/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,1751,2034,2255,2448,2663,2849,2945,3256,3503,3966,4350,4746,5164,5681,6126,6194,6420,6883,7608,8516,8544,9421,10058,11093,8.4
1,Medicaid/Personal Health Care (Millions of Dollars),Region,8,Far West,,11815,13173,15630,16982,18487,20291,21435,23116,25953,27300,31806,34574,38034,40323,42832,42449,45062,48627,51905,55920,59457,66570,72175,83172,8.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,871,1157,1303,1426,1556,1647,1829,1956,2077,2503,2608,2855,3176,3360,3689,3578,3559,3863,4164,5001,4426,4771,4673,4983,7.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,190,220,277,270,285,320,343,358,388,479,582,704,845,838,923,928,919,941,1062,1160,1279,1349,1315,1359,8.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,778,1048,1184,1334,1349,1426,1515,1608,1908,1869,2513,3159,3761,4354,4976,5426,5888,6566,7569,7920,7177,7103,7348,8371,10.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,804,941,1023,1069,1159,1234,1268,1338,1442,1566,1888,2211,2231,2591,2724,2758,2982,3119,3387,3733,3821,3930,4043,4960,8.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,California,8751,9629,11521,12419,13275,14765,15736,16993,19197,19898,23473,25419,28393,30045,31871,31821,33766,36512,38972,41772,44634,50959,55744,61761,8.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,750,926,1003,1119,1252,1283,1387,1528,1725,1889,2028,2263,2391,2500,2699,2678,2845,3059,3415,3952,4198,4595,4937,6038,9.5
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,1663,1722,1882,2169,2467,2538,2813,2840,3005,3139,3221,3562,3442,3897,3923,4042,4134,4743,5514,5561,5703,6599,6524,6994,6.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,200,227,257,288,337,392,364,422,432,508,558,603,677,757,810,881,935,1035,1108,1168,1277,1450,1423,1506,9.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,530,583,676,745,717,731,801,853,809,885,862,969,1015,1155,1209,1208,1328,1424,1580,1774,1952,1983,2185,2178,6.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Florida,3235,3851,4473,4858,5285,5360,5594,5945,6300,7193,8138,9484,10778,11876,12178,11758,12386,13239,14331,15904,16160,16594,16896,18285,7.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Georgia,1975,2170,2536,2947,3148,3253,3284,3420,3574,4339,5517,6197,6786,7393,6909,6252,7027,6804,6699,7248,7575,7806,8137,8761,6.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,Hawaii,250,270,336,459,620,543,568,536,567,589,599,685,738,875,981,889,1041,1115,1125,1362,1416,1280,1470,1770,8.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,246,277,305,322,346,398,390,444,500,598,706,750,812,963,987,1006,1091,1153,1253,1468,1287,1506,1609,1540,8.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,2947,4223,4929,5236,5703,6260,6307,6292,6292,7207,7508,8586,9304,9604,11034,9607,11599,11602,13945,15326,12808,13210,15506,15397,7.5
