Number,Cumulative Number,State,Region,Year,Spending (in Millions of Dollars),Medicaid Enrollee Population (Thousands)
1,1,Alabama,Southeast,1991,261,384
1,2,Alabama,Southeast,1992,429,439
1,3,Alabama,Southeast,1993,486,469
1,4,Alabama,Southeast,1994,533,477
1,5,Alabama,Southeast,1995,595,464
1,6,Alabama,Southeast,1996,623,494
1,7,Alabama,Southeast,1997,419,495
1,8,Alabama,Southeast,1998,566,505
1,9,Alabama,Southeast,1999,599,527
1,10,Alabama,Southeast,2000,792,554
1,11,Alabama,Southeast,2001,711,643
1,12,Alabama,Southeast,2002,778,711
1,13,Alabama,Southeast,2003,875,755
1,14,Alabama,Southeast,2004,946,788
1,15,Alabama,Southeast,2005,1138,814
1,16,Alabama,Southeast,2006,1046,774
1,17,Alabama,Southeast,2007,897,737
1,18,Alabama,Southeast,2008,1089,765
1,19,Alabama,Southeast,2009,1246,811
1,20,Alabama,Southeast,2010,2140,863
1,21,Alabama,Southeast,2011,1687,922
1,22,Alabama,Southeast,2012,2101,942
1,23,Alabama,Southeast,2013,1959,964
1,24,Alabama,Southeast,2014,2115,988
2,1,Alaska,Far West,1991,74,39
2,2,Alaska,Far West,1992,91,48
2,3,Alaska,Far West,1993,128,56
2,4,Alaska,Far West,1994,107,65
2,5,Alaska,Far West,1995,110,66
2,6,Alaska,Far West,1996,132,62
2,7,Alaska,Far West,1997,129,53
2,8,Alaska,Far West,1998,129,63
2,9,Alaska,Far West,1999,132,66
2,10,Alaska,Far West,2000,177,71
2,11,Alaska,Far West,2001,213,75
2,12,Alaska,Far West,2002,251,79
2,13,Alaska,Far West,2003,332,82
2,14,Alaska,Far West,2004,283,84
2,15,Alaska,Far West,2005,283,87
2,16,Alaska,Far West,2006,333,90
2,17,Alaska,Far West,2007,327,88
2,18,Alaska,Far West,2008,316,88
2,19,Alaska,Far West,2009,367,94
2,20,Alaska,Far West,2010,366,103
2,21,Alaska,Far West,2011,386,109
2,22,Alaska,Far West,2012,400,111
2,23,Alaska,Far West,2013,363,111
2,24,Alaska,Far West,2014,372,113
3,1,Arizona,Southwest,1991,608,347
3,2,Arizona,Southwest,1992,850,412
3,3,Arizona,Southwest,1993,854,459
3,4,Arizona,Southwest,1994,951,485
3,5,Arizona,Southwest,1995,937,490
3,6,Arizona,Southwest,1996,938,495
3,7,Arizona,Southwest,1997,944,476
3,8,Arizona,Southwest,1998,981,459
3,9,Arizona,Southwest,1999,1119,463
3,10,Arizona,Southwest,2000,1107,506
3,11,Arizona,Southwest,2001,1422,619
3,12,Arizona,Southwest,2002,1729,819
3,13,Arizona,Southwest,2003,1982,964
3,14,Arizona,Southwest,2004,2249,1031
3,15,Arizona,Southwest,2005,2457,1095
3,16,Arizona,Southwest,2006,2611,1072
3,17,Arizona,Southwest,2007,2763,1114
3,18,Arizona,Southwest,2008,2952,1186
3,19,Arizona,Southwest,2009,3263,1350
3,20,Arizona,Southwest,2010,3251,1235
3,21,Arizona,Southwest,2011,3148,1155
3,22,Arizona,Southwest,2012,3161,1340
3,23,Arizona,Southwest,2013,3311,1345
3,24,Arizona,Southwest,2014,3495,1388
4,1,Arkansas,Southeast,1991,343,241
4,2,Arkansas,Southeast,1992,376,265
4,3,Arkansas,Southeast,1993,408,272
4,4,Arkansas,Southeast,1994,391,270
4,5,Arkansas,Southeast,1995,396,275
4,6,Arkansas,Southeast,1996,409,281
4,7,Arkansas,Southeast,1997,429,294
4,8,Arkansas,Southeast,1998,439,336
4,9,Arkansas,Southeast,1999,450,385
4,10,Arkansas,Southeast,2000,487,410
4,11,Arkansas,Southeast,2001,643,457
4,12,Arkansas,Southeast,2002,810,512
4,13,Arkansas,Southeast,2003,753,571
4,14,Arkansas,Southeast,2004,822,597
4,15,Arkansas,Southeast,2005,820,625
4,16,Arkansas,Southeast,2006,848,616
4,17,Arkansas,Southeast,2007,1003,565
4,18,Arkansas,Southeast,2008,973,562
4,19,Arkansas,Southeast,2009,1038,582
4,20,Arkansas,Southeast,2010,1311,594
4,21,Arkansas,Southeast,2011,1261,600
4,22,Arkansas,Southeast,2012,1304,599
4,23,Arkansas,Southeast,2013,1334,606
4,24,Arkansas,Southeast,2014,1565,812
5,1,California,Far West,1991,4880,4339
5,2,California,Far West,1992,5176,4811
5,3,California,Far West,1993,6100,5133
5,4,California,Far West,1994,6369,5279
5,5,California,Far West,1995,6951,5206
5,6,California,Far West,1996,7704,5279
5,7,California,Far West,1997,7519,5094
5,8,California,Far West,1998,8130,5000
5,9,California,Far West,1999,9595,5158
5,10,California,Far West,2000,9054,6220
5,11,California,Far West,2001,10804,6780
5,12,California,Far West,2002,10453,7498
5,13,California,Far West,2003,12850,7914
5,14,California,Far West,2004,12559,7977
5,15,California,Far West,2005,13412,8005
5,16,California,Far West,2006,12771,7992
5,17,California,Far West,2007,13159,8045
5,18,California,Far West,2008,15217,8166
5,19,California,Far West,2009,15533,8602
5,20,California,Far West,2010,16557,8892
5,21,California,Far West,2011,18160,9127
5,22,California,Far West,2012,20237,9455
5,23,California,Far West,2013,22734,9424
5,24,California,Far West,2014,24761,11505
6,1,Colorado,Rocky Mountains,1991,290,216
6,2,Colorado,Rocky Mountains,1992,427,249
6,3,Colorado,Rocky Mountains,1993,473,265
6,4,Colorado,Rocky Mountains,1994,543,272
6,5,Colorado,Rocky Mountains,1995,596,272
6,6,Colorado,Rocky Mountains,1996,548,265
6,7,Colorado,Rocky Mountains,1997,547,259
6,8,Colorado,Rocky Mountains,1998,599,255
6,9,Colorado,Rocky Mountains,1999,633,261
6,10,Colorado,Rocky Mountains,2000,703,284
6,11,Colorado,Rocky Mountains,2001,729,305
6,12,Colorado,Rocky Mountains,2002,800,335
6,13,Colorado,Rocky Mountains,2003,816,366
6,14,Colorado,Rocky Mountains,2004,877,388
6,15,Colorado,Rocky Mountains,2005,912,412
6,16,Colorado,Rocky Mountains,2006,968,421
6,17,Colorado,Rocky Mountains,2007,1014,413
6,18,Colorado,Rocky Mountains,2008,1101,430
6,19,Colorado,Rocky Mountains,2009,1202,490
6,20,Colorado,Rocky Mountains,2010,1669,551
6,21,Colorado,Rocky Mountains,2011,1780,591
6,22,Colorado,Rocky Mountains,2012,1976,610
6,23,Colorado,Rocky Mountains,2013,2119,617
6,24,Colorado,Rocky Mountains,2014,2460,845
7,1,Connecticut,New England,1991,477,319
7,2,Connecticut,New England,1992,456,282
7,3,Connecticut,New England,1993,526,299
7,4,Connecticut,New England,1994,667,316
7,5,Connecticut,New England,1995,785,332
7,6,Connecticut,New England,1996,880,338
7,7,Connecticut,New England,1997,967,337
7,8,Connecticut,New England,1998,837,342
7,9,Connecticut,New England,1999,791,351
7,10,Connecticut,New England,2000,780,356
7,11,Connecticut,New England,2001,766,374
7,12,Connecticut,New England,2002,844,412
7,13,Connecticut,New England,2003,862,430
7,14,Connecticut,New England,2004,946,444
7,15,Connecticut,New England,2005,942,445
7,16,Connecticut,New England,2006,1024,443
7,17,Connecticut,New England,2007,1084,454
7,18,Connecticut,New England,2008,1191,477
7,19,Connecticut,New England,2009,1283,510
7,20,Connecticut,New England,2010,1330,606
7,21,Connecticut,New England,2011,1582,662
7,22,Connecticut,New England,2012,2274,705
7,23,Connecticut,New England,2013,2103,741
7,24,Connecticut,New England,2014,2236,868
8,1,Delaware,Mideast,1991,77,49
8,2,Delaware,Mideast,1992,83,55
8,3,Delaware,Mideast,1993,91,62
8,4,Delaware,Mideast,1994,98,65
8,5,Delaware,Mideast,1995,112,68
8,6,Delaware,Mideast,1996,125,75
8,7,Delaware,Mideast,1997,97,80
8,8,Delaware,Mideast,1998,124,83
8,9,Delaware,Mideast,1999,111,91
8,10,Delaware,Mideast,2000,130,99
8,11,Delaware,Mideast,2001,141,108
8,12,Delaware,Mideast,2002,155,117
8,13,Delaware,Mideast,2003,187,126
8,14,Delaware,Mideast,2004,215,135
8,15,Delaware,Mideast,2005,259,141
8,16,Delaware,Mideast,2006,302,145
8,17,Delaware,Mideast,2007,323,146
8,18,Delaware,Mideast,2008,320,155
8,19,Delaware,Mideast,2009,334,169
8,20,Delaware,Mideast,2010,378,186
8,21,Delaware,Mideast,2011,424,202
8,22,Delaware,Mideast,2012,523,211
8,23,Delaware,Mideast,2013,491,214
8,24,Delaware,Mideast,2014,549,218
9,1,District of Columbia,Mideast,1991,272,101
9,2,District of Columbia,Mideast,1992,284,108
9,3,District of Columbia,Mideast,1993,345,119
9,4,District of Columbia,Mideast,1994,396,123
9,5,District of Columbia,Mideast,1995,367,116
9,6,District of Columbia,Mideast,1996,386,128
9,7,District of Columbia,Mideast,1997,440,129
9,8,District of Columbia,Mideast,1998,482,119
9,9,District of Columbia,Mideast,1999,423,124
9,10,District of Columbia,Mideast,2000,447,126
9,11,District of Columbia,Mideast,2001,418,124
9,12,District of Columbia,Mideast,2002,448,127
9,13,District of Columbia,Mideast,2003,477,132
9,14,District of Columbia,Mideast,2004,483,137
9,15,District of Columbia,Mideast,2005,565,139
9,16,District of Columbia,Mideast,2006,542,140
9,17,District of Columbia,Mideast,2007,596,141
9,18,District of Columbia,Mideast,2008,556,140
9,19,District of Columbia,Mideast,2009,588,148
9,20,District of Columbia,Mideast,2010,599,175
9,21,District of Columbia,Mideast,2011,652,202
9,22,District of Columbia,Mideast,2012,677,211
9,23,District of Columbia,Mideast,2013,727,217
9,24,District of Columbia,Mideast,2014,681,242
10,1,Florida,Southeast,1991,1388,1075
10,2,Florida,Southeast,1992,1631,1456
10,3,Florida,Southeast,1993,1865,1666
10,4,Florida,Southeast,1994,1936,1622
10,5,Florida,Southeast,1995,2046,1540
10,6,Florida,Southeast,1996,2022,1391
10,7,Florida,Southeast,1997,1955,1507
10,8,Florida,Southeast,1998,2115,1487
10,9,Florida,Southeast,1999,2098,1568
10,10,Florida,Southeast,2000,2337,1727
10,11,Florida,Southeast,2001,2546,1929
10,12,Florida,Southeast,2002,3037,2082
