"Table with row headers in columns A and B, column headers in rows 4 and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table HIC-4_ACS. Health Insurance Coverage Status and Type of Coverage by State All People: 2008 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Numbers in thousands. Civilian noninstitutionalized population. Margins of error calculated using replicate weights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation/State,Coverage,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,
,,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error,Estimate,Margin of Error,Percent,Margin of Error
UNITED STATES,Total,"322,249",15,100.0,Z,"320,775",15,100.0,Z,"318,176",15,100.0,Z,"316,451",15,100.0,Z,"313,890",16,100.0,Z,"311,158",16,100.0,Z,"308,896",14,100.0,Z,"306,561",16,100.0,Z,"304,288",15,100.0,Z,"301,472",23,100.0,Z,"298,571",20,100.0,Z
,Any coverage,"293,684",178,91.1,0.1,"292,756",184,91.3,0.1,"290,872",158,91.4,0.1,"286,693",176,90.6,0.1,"277,220",186,88.3,0.1,"265,977",197,85.5,0.1,"263,282",194,85.2,0.1,"260,185",224,84.9,0.1,"257,080",224,84.5,0.1,"255,807",235,84.9,0.1,"255,068",230,85.4,0.1
,Uninsured,"28,566",183,8.9,0.1,"28,019",188,8.7,0.1,"27,304",162,8.6,0.1,"29,758",179,9.4,0.1,"36,670",190,11.7,0.1,"45,181",200,14.5,0.1,"45,615",195,14.8,0.1,"46,376",227,15.1,0.1,"47,208",226,15.5,0.1,"45,665",238,15.1,0.1,"43,503",233,14.6,0.1
,Private,"217,623",404,67.5,0.1,"216,952",419,67.6,0.1,"215,859",369,67.8,0.1,"213,514",344,67.5,0.1,"208,333",344,66.4,0.1,"202,391",363,65.0,0.1,"201,213",311,65.1,0.1,"199,871",350,65.2,0.1,"200,269",373,65.8,0.1,"203,300",379,67.4,0.1,"207,786",353,69.6,0.1
,..Employer-based,"177,740",354,55.2,0.1,"176,319",358,55.0,0.1,"173,907",325,54.7,0.1,"172,292",309,54.4,0.1,"170,265",294,54.2,0.1,"168,059",298,54.0,0.1,"168,724",247,54.6,0.1,"167,541",307,54.7,0.1,"167,137",315,54.9,0.1,"170,633",310,56.6,0.1,"175,294",308,58.7,0.1
,..Direct-purchase,"43,191",184,13.4,0.1,"43,406",189,13.5,0.1,"44,815",187,14.1,0.1,"43,633",174,13.8,0.1,"40,215",155,12.8,Z,"37,022",159,11.9,0.1,"37,681",143,12.2,Z,"37,453",166,12.2,0.1,"38,719",156,12.7,0.1,"39,625",154,13.1,0.1,"42,346",151,14.2,0.1
,..TRICARE,"8,767",79,2.7,Z,"8,640",79,2.7,Z,"8,566",73,2.7,Z,"8,415",68,2.7,Z,"8,311",70,2.6,Z,"8,228",64,2.6,Z,"8,291",71,2.7,Z,"8,118",66,2.6,Z,"7,905",64,2.6,Z,"7,639",63,2.5,Z,"7,615",62,2.6,Z
,Public,"114,750",205,35.6,0.1,"113,720",218,35.5,0.1,"112,688",205,35.4,0.1,"109,874",176,34.7,0.1,"104,228",157,33.2,Z,"98,173",158,31.6,0.1,"96,136",134,31.1,Z,"93,418",184,30.5,0.1,"90,375",170,29.7,0.1,"85,956",157,28.5,0.1,"81,431",147,27.3,Z
,..Medicaid,"65,965",234,20.5,0.1,"66,131",236,20.6,0.1,"66,357",208,20.9,0.1,"64,739",196,20.5,0.1,"60,346",165,19.2,0.1,"55,669",170,17.9,0.1,"55,178",140,17.9,Z,"54,012",194,17.6,0.1,"51,855",180,17.0,0.1,"48,774",174,16.2,0.1,"45,229",146,15.1,Z
