"","X1","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"1",1,1,1,1,1,1,1,"31309","Sage Memorial Hospital","State Route 264 South 191","Ganado","AZ",86505,"Apache","(928) 755-4541","Critical Access Hospitals","Voluntary non-profit - Private",FALSE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,NA,NA,"medicare","N"
"2",2,2,2,2,2,2,2,"44021","Woodridge Behavioral Center","600 North 7th Street","West Memphis","AR",72301,"Crittenden","(870) 394-4113","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-90.175858,35.152962,"medicare","N"
"3",3,3,3,3,3,3,3,"100277","Douglas Gardens Hospital","5200 Ne 2nd Ave","Miami","FL",33137,"Miami-Dade","(305) 751-8626","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,NA,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,-80.191767,25.822972,"medicare","N"
"4",4,4,4,4,4,4,4,"104078","Suncoast Behavioral Health Center","4480 51st St W","Bradenton","FL",34210,"Manatee","(941) 792-2222","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-82.612355,27.460155,"medicare","N"
"5",5,5,5,5,5,5,5,"130063","Treasure Valley Hospital","8800 West Emerald Street","Boise","ID",83704,"Ada","(208) 373-5000","Acute Care Hospitals","Proprietary",FALSE,NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",16,-116.290332,43.611289,"medicare","N"
"6",6,6,6,6,6,6,6,"134002","Intermountain Hospital","303 North Allumbaugh Street","Boise","ID",83704,"Ada","(208) 377-8400","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-116.266232,43.607293,"medicare","N"
"7",7,7,7,7,7,7,7,"144038","Choate Mental Health & Development Ctr","1000 N Main St","Anna","IL",62906,"Union","(618) 833-5161","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-89.24487,37.47601,"medicare","N"
"8",8,8,8,8,8,8,8,"171370","Goodland Regional Medical Center","220 West Second Street","Goodland","KS",67735,"Sherman","(785) 890-3625","Critical Access Hospitals","Government - Local",TRUE,NA,"3",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-101.713256,39.35759,"medicare","N"
"9",9,9,9,9,9,9,9,"204005","Spring Harbor Hospital","123 Andover Road","Westbrook","ME",4092,"Cumberland","(207) 761-2200","Psychiatric","Government - Federal",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-70.33834,43.653231,"medicare","N"
"10",10,10,10,10,10,10,10,"214002","Eastern Shore Hospital Center","Post Office Box 800","Cambridge","MD",21613,"Dorchester","(410) 221-2525","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,NA,"medicare","N"
