"","X","id","name","address","city","state","zip","telephone","type","status","population","county","country","lat","long","naics_code","naics_desc","source","sourcedate","val_date","website","alt_name","owner","beds","trauma","helipad","overall_type","tot_res","tot_staff","excess_bed","medicaidid","medicareid","state_lic","sourcetype","emergtitle","emergtel","emergext","st_vendor","st_version","geoprec","phoneloc","qc_qa","ucaoa_id","ny_metro"
"1",89,6111561,"Long Beach Medical Center","455 E Bay Dr","Long Beach","NY",11561,"(516) 897-1000","General Acute Care","closed",162,"Nassau","USA",40.594546587,-73.652228489,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://longbeachmedicalcenter.org/",NA,"Non-Profit",162,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"2",90,6311580,"Long Island Jewish Valley Stream","900 Franklin Ave","Valley Stream","NY",11580,"(516) 256-6000","General Acute Care","open",330,"Nassau","USA",40.6811275040001,-73.686299199,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","https://www.northwell.edu/find-care/locations/long-island-jewish-valley-stream","franklin hospital","Non-Profit",330,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"3",91,6711714,"St. Joseph Hospital","4295  Hempstead Turnpike","Bethpage","NY",11714,"(516) 579-6000","General Acute Care","open",203,"Nassau","USA",40.72677129,-73.4787181949999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://stjosephhospital.chsli.org/","new island hospital","Non-Profit",203,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"4",92,6811530,"Mercy Medical Center","1000 N Village Ave","Rockville Centre","NY",11530,"(516) 705-2525","General Acute Care","open",375,"Nassau","USA",40.6885130310001,-73.6316038099999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.mercymedicalcenter.chsli.org",NA,"Non-Profit",375,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"5",93,7411548,"Saint Francis Hospital","100 Port Washington Blvd","Roslyn","NY",11548,"(516) 562-6000","General Acute Care","open",364,"Nassau","USA",40.804754732,-73.6705896829999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.stfrancisheartcenter.com/index.html","st. francis hospital of roslyn","Non-Profit",364,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"6",98,8812518,"St. Luke's Cornwall Hospital - Cornwall Campus","19 Laurel Ave","Cornwall","NY",12518,"(845) 534-7711","General Acute Care","open",125,"Orange","USA",41.435251362,-74.04232114,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.stlukescornwallhospital.org",NA,"Non-Profit",125,"LEVEL III","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"7",100,9010990,"St Anthony Community Hospital","15 Maple Ave","Warwick","NY",10990,"(845) 986-2276","General Acute Care","open",60,"Orange","USA",41.2613629210001,-74.357462149,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.stanthonycommunityhosp.org",NA,"Non-Profit",60,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"8",101,9112771,"Bon Secours Community Hospital","160 E Main St","Port Jervis","NY",12771,"(845) 856-5351","General Acute Care","open",122,"Orange","USA",41.3676357000001,-74.681597186,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.bonsecourscommunityhosp.org",NA,"Non-Profit",122,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"9",113,9710512,"Putnam Hospital Center","670 Stoneleigh Ave","Carmel","NY",10512,"(845) 279-5711","General Acute Care","open",164,"Putnam","USA",41.382627122,-73.662975714,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.health-quest.org/home_phc.cfm?id=10",NA,"Non-Profit",164,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"10",117,10310970,"Summit Park Hospital & Nursing Care Center","50 Sanatorium Road","Pomona","NY",10970,"(845) 364-2150","Long Term Care","closed",378,"Rockland","USA",41.1590755660001,-74.03806184,622310,"Hospitals, Specialty (Except Psychiatric, Substance Abuse)","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://rocklandgov.com/departments/hospitals/",NA,"Government - Local",378,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"11",135,13012401,"Healthalliance Hospital - Mary's Avenue Campsu","105 Mary's Avenue","Kingston","NY",12401,"(845) 338-2500","General Acute Care","open",150,"Ulster","USA",41.921494157,-73.999687122,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.hahv.org/marys-ave-campus/",NA,"Non-Profit",150,NA,"Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"12",140,15010456,"Bronx-Lebanon Hospital Center - Fulton Division","1276 Fulton Ave","Bronx","NY",10456,"(718) 409-7742","General Acute Care","open",164,"Bronx","USA",40.831714789,-73.904056984,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.bronxcare.org",NA,"Non-Profit",164,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"13",143,17311237,"Wyckoff Heights Medical Center","374 Stockholm St","Brooklyn","NY",11237,"(718) 963-7272","General Acute Care","open",324,"Kings","USA",40.7039640410001,-73.9177636969999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.wyckoffhospital.org",NA,"Non-Profit",324,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"14",144,18110021,"Lenox Hill Hospital","100 E 77th St","New York","NY",10021,"(212) 434-2060","General Acute Care","open",632,"New York","USA",40.773702681,-73.960890772,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.lenoxhillhospital.org",NA,"Non-Profit",632,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"15",145,19210304,"Richmond University Medical Center - Bayley Seton Campus","75 Vanderbilt Ave","Staten Island","NY",10304,"(718) 390-6000","Psychiatric","open",25,"Richmond","USA",40.6224278220001,-74.075354595,622210,"Psychiatric And Substance Abuse Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://rumcsi.org/main/behavioralhealth.aspx",NA,"Non-Profit",25,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"16",146,19411355,"Flushing Hospital Medical Center","45 Th Ave & Parsons Blvd","Flushing","NY",11355,"(718) 670-5918","General Acute Care","open",293,"Queens","USA",40.7554099230001,-73.816465518,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.flushinghospital.org",NA,"Non-Profit",293,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"17",147,19811691,"St. John's Episcopal Hospital-South Shore","327 Beach 19th St","Far Rockaway","NY",11691,"(718) 868-7320","General Acute Care","open",241,"Queens","USA",40.598707984,-73.753550616,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.ehs.org",NA,"Non-Profit",241,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"18",152,114210457,"Bronx-Lebanon Hospital Center - Concourse Division","1650 Grand Concourse","Bronx","NY",10457,"(718) 901-8800","General Acute Care","open",415,"Bronx","USA",40.8434925500001,-73.911146945,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2015-02-11T00:00:00.000Z","http://www.bronxcare.org",NA,"Non-Profit",415,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"19",156,115610034,"New York Presbyterian Hospital - Allen Hospital","5141 Broadway","New York","NY",10034,"(212) 932-4000","General Acute Care","open",196,"New York","USA",40.873275237,-73.913050326,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2015-02-11T00:00:00.000Z","http://www.nyp.org/allenhospital",NA,"Non-Profit",196,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"20",159,116112572,"Northern Dutchess Hospital","6511 Springbrook Avenue","Rhinebeck","NY",12572,"(845) 871-3001","General Acute Care","open",68,"Dutchess","USA",41.9354700380001,-73.913195827,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2015-02-11T00:00:00.000Z","http://www.healthquest.org/rhinebeck/northern-dutchess-hospital.aspx",NA,"Non-Profit",68,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"21",161,116610021,"Rockefeller University Hospital","1230 York Avenue","New York","NY",10021,"(212) 327-7511","General Acute Care","open",40,"New York","USA",40.7630474440001,-73.954623172,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2015-02-11T00:00:00.000Z","https://www.rucares.org/",NA,"Government - State",40,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"22",164,118610019,"Mount Sinai West","1000 Tenth Avenue","New York","NY",10019,"(212) 523-7225","General Acute Care","open",514,"New York","USA",40.769820607,-73.987401899,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2015-05-12T00:00:00.000Z","http://www.roosevelthospitalnyc.org/index.aspx","mount sinai roosevelt","Non-Profit",514,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"23",166,119310038,"New York-Presbyterian/Lower Manhattan Hospital","170 William Street","New York","NY",10038,"(212) 312-5175","General Acute Care","open",180,"New York","USA",40.7105167880001,-74.0052978259999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2015-02-24T00:00:00.000Z","http://www.nyp.org/lowermanhattan","new york downtown hospital","Non-Profit",180,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
