state,county,pop_estimate_2018,povall_2018,pctpovall_2018,employed_2017,unemployed_2017,unemployment_rate_2017,median_household_income_2018
CT,Fairfield,943823,92971,10,457520,21850,4.6,91183
CT,Litchfield,181111,12441,6.9,99542,4536,4.4,76304
CT,New Haven,857620,96563,11.6,433777,23181,5.1,67720
NJ,Bergen,936692,63403,6.8,456948,18500,3.9,100181
NJ,Essex,799767,116246,14.9,346604,20786,5.7,62875
NJ,Hudson,676061,95704,14.3,344612,15684,4.4,73337
NJ,Hunterdon,124714,5317,4.4,61229,2245,3.5,112335
NJ,Mercer,369811,38279,10.9,187528,8053,4.1,79979
NJ,Monmouth,621354,41380,6.7,311151,13379,4.1,99223
NJ,Morris,494228,22980,4.7,245505,9265,3.6,112396
NJ,Ocean,601651,57366,9.7,255361,12873,4.8,68483
NJ,Passaic,503310,67374,13.6,227565,13808,5.7,71959
NJ,Somerset,331164,16112,4.9,163854,6495,3.8,119731
NJ,Sussex,140799,7233,5.2,69960,3234,4.4,92284
NJ,Union,558067,43279,7.8,261743,13057,4.8,80737
NY,Bronx,1432132,380470,27.3,570215,38255,6.3,38566
NY,Dutchess,293718,25387,9.2,136986,6107,4.3,79604
NY,Kings,2582830,483632,18.9,1158095,57238,4.7,60862
NY,Nassau,1358343,77883,5.8,676616,28707,4.1,115301
NY,New York,1628701,245347,15.6,883556,37683,4.1,84610
NY,Orange,381951,42664,11.5,172256,8190,4.5,75048
NY,Putnam,98892,5863,6,48655,2129,4.2,100887
NY,Queens,2278906,261819,11.6,1118029,46940,4,68432
NY,Richmond,476179,55217,11.7,211043,10315,4.7,79719
NY,Rockland,325695,44728,13.9,146652,6633,4.3,88960
NY,Suffolk,1481093,105578,7.3,740802,34709,4.5,100075
NY,Ulster,178599,24389,14.3,83917,3990,4.5,63073
PA,Pike,55933,5690,10.3,23237,1462,5.9,62657
