county,timeliness_score,effectiveness_score,safety_score,mortality_score,readmission_score,experience_score,timeliness_of_care,effectiveness_of_care,safety_of_care,mortality,readmission,patient_experience,hospital_overall_rating,state,population_in_2018,povall_2018,percent_in_poverty_2018,employed_2017,unemployed_2017,percent_unemployed_in_2017,median_household_income_2018
Bergen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,936692,63403,6.8,456948,18500,3.9,100181
Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,1432132,380470,27.3,570215,38255,6.3,38566
Dutchess,0,0,0,0,-1,0,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,2.5,NY,293718,25387,9.2,136986,6107,4.3,79604
Essex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,799767,116246,14.9,346604,20786,5.7,62875
Fairfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CT,943823,92971,10,457520,21850,4.6,91183
Hudson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,676061,95704,14.3,344612,15684,4.4,73337
Hunterdon,-1,0,0,1,-1,0,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,4,NJ,124714,5317,4.4,61229,2245,3.5,112335
Kings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,2582830,483632,18.9,1158095,57238,4.7,60862
Litchfield,-0.5,0,0,-0.5,0.5,0,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,3,CT,181111,12441,6.9,99542,4536,4.4,76304
Mercer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,369811,38279,10.9,187528,8053,4.1,79979
Monmouth,-0.8,0.2,0.6,0,-0.2,-0.6,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,2.8,NJ,621354,41380,6.7,311151,13379,4.1,99223
Morris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,494228,22980,4.7,245505,9265,3.6,112396
Nassau,-1,-0.1,-0.6,0.4,-0.4,-0.5,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,2.7,NY,1358343,77883,5.8,676616,28707,4.1,115301
New Haven,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CT,857620,96563,11.6,433777,23181,5.1,67720
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,1628701,245347,15.6,883556,37683,4.1,84610
Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,601651,57366,9.7,255361,12873,4.8,68483
Orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,381951,42664,11.5,172256,8190,4.5,75048
Passaic,-0.5,0,0,0,-1,-1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,2,NJ,503310,67374,13.6,227565,13808,5.7,71959
Putnam,1,0,0,0,-1,1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,4,NY,98892,5863,6,48655,2129,4.2,100887
Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,2278906,261819,11.6,1118029,46940,4,68432
Richmond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,476179,55217,11.7,211043,10315,4.7,79719
Rockland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,325695,44728,13.9,146652,6633,4.3,88960
Somerset,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,331164,16112,4.9,163854,6495,3.8,119731
Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,1481093,105578,7.3,740802,34709,4.5,100075
Sussex,-1,0,1,0,1,-1,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,4,NJ,140799,7233,5.2,69960,3234,4.4,92284
Ulster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,178599,24389,14.3,83917,3990,4.5,63073
Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NJ,558067,43279,7.8,261743,13057,4.8,80737
