"","X","drg_definition","id.x","name","address","city","state","zip","hospital_referral_region_hrr_description","total_discharges","average_covered_charges","average_total_payments","average_medicare_payments","county","ny_metro"
"1",27757,"064 - Intracranial Hemorrhage Or Cerebral Infarction W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",29,39965.83,14524.72,13097.03,"New Haven","Y"
"2",27758,"065 - Intracranial Hemorrhage Or Cerebral Infarction W Cc Or Tpa In 24 Hrs",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",40,31820.18,9124.32,7759.62,"New Haven","Y"
"3",27759,"066 - Intracranial Hemorrhage Or Cerebral Infarction W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",17,25683.88,6785.06,5535.47,"New Haven","Y"
"4",27760,"069 - Transient Ischemia",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",19,27466.47,6685.95,5409.47,"New Haven","Y"
"5",27761,"100 - Seizures W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",20,29057.1,13013.8,11824.55,"New Haven","Y"
"6",27762,"101 - Seizures W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",21,21641.86,7172.71,6270,"New Haven","Y"
"7",27763,"176 - Pulmonary Embolism W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",13,23139.85,8175.77,6932.23,"New Haven","Y"
"8",27764,"177 - Respiratory Infections & Inflammations W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",73,45031.03,16012.34,13986.14,"New Haven","Y"
"9",27765,"178 - Respiratory Infections & Inflammations W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",15,26828.53,10145.27,8737.87,"New Haven","Y"
"10",27766,"189 - Pulmonary Edema & Respiratory Failure",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",63,34944.41,10733.76,9583.84,"New Haven","Y"
"11",27767,"190 - Chronic Obstructive Pulmonary Disease W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",50,30716.66,9979.68,8628.88,"New Haven","Y"
"12",27768,"191 - Chronic Obstructive Pulmonary Disease W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",57,26157.56,8146.35,6724.42,"New Haven","Y"
"13",27769,"192 - Chronic Obstructive Pulmonary Disease W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",12,20392.17,6495.42,5222.83,"New Haven","Y"
"14",27770,"193 - Simple Pneumonia & Pleurisy W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",48,32338.65,11632.23,9940.12,"New Haven","Y"
"15",27771,"194 - Simple Pneumonia & Pleurisy W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",42,20082.74,8013.98,6730.71,"New Haven","Y"
"16",27772,"202 - Bronchitis & Asthma W Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",42,28750.24,8094.55,6811.69,"New Haven","Y"
"17",27773,"203 - Bronchitis & Asthma W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",14,15486.71,6371.07,4342.36,"New Haven","Y"
"18",27774,"207 - Respiratory System Diagnosis W Ventilator Support >96 Hours",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",21,140758,44134.86,42039.81,"New Haven","Y"
"19",27775,"208 - Respiratory System Diagnosis W Ventilator Support <=96 Hours",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",22,66505.68,19926.32,18502.27,"New Haven","Y"
"20",27776,"234 - Coronary Bypass W Cardiac Cath W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",16,205440.81,41258.5,39199.69,"New Haven","Y"
"21",27777,"236 - Coronary Bypass W/O Cardiac Cath W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",12,168469.92,32522.92,30981.75,"New Haven","Y"
"22",27778,"242 - Permanent Cardiac Pacemaker Implant W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,124535,30245.91,28655.18,"New Haven","Y"
"23",27779,"243 - Permanent Cardiac Pacemaker Implant W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",12,68431.92,21539.42,20302.75,"New Haven","Y"
"24",27780,"246 - Perc Cardiovasc Proc W Drug-Eluting Stent W Mcc Or 4+ Vessels/Stents",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",21,134046,28398.71,24705.62,"New Haven","Y"
"25",27781,"247 - Perc Cardiovasc Proc W Drug-Eluting Stent W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",31,91479,18331.77,16182.65,"New Haven","Y"
"26",27782,"280 - Acute Myocardial Infarction, Discharged Alive W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",64,42159.67,13992.58,12653.05,"New Haven","Y"
"27",27783,"281 - Acute Myocardial Infarction, Discharged Alive W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",37,33275.57,9024.92,7586.73,"New Haven","Y"
"28",27784,"282 - Acute Myocardial Infarction, Discharged Alive W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,24643.27,6787.82,5996.27,"New Haven","Y"
