"","X1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"1",28,"310002","Newark Beth Israel Medical Center","201 Lyons Ave","Newark","NJ",7112,"Essex","(973) 926-7850","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.213787,40.710054,"medicare","Y"
"2",70,"310050","Saint Clare's Hospital/ Denville Campus","25 Pocono Road","Denville","NJ",7834,"Morris","(973) 983-5569","Acute Care Hospitals","Proprietary",TRUE,TRUE,"5",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-74.464479,40.894376,"medicare","Y"
"3",111,"330049","Northern Dutchess Hospital","6511 Springbrook Avenue","Rhinebeck","NY",12572,"Dutchess","(845) 871-3391","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"4",180,"330059","Montefiore Medical Center","111 East 210th Street","Bronx","NY",10467,"Bronx","(718) 920-4321","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.879975,40.879777,"medicare","Y"
"5",226,"334009","New York State Psychiatric Institute","722 W 168th St","New York","NY",10032,"New York","(212) 543-5000","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.942279,40.842156,"medicare","Y"
"6",251,"330198","Mount Sinai South Nassau","One Healthy Way","Oceanside","NY",11572,"Nassau","(516) 632-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,NA,NA,"medicare","Y"
"7",266,"330395","St John's Episcopal Hospital At South Shore","327 Beach 19th Street","Far Rockaway","NY",11691,"Queens","(718) 869-7000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,NA,"1",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.75268,40.598675,"medicare","Y"
"8",270,"310028","Newton Medical Center","175 High St","Newton","NJ",7860,"Sussex","(973) 579-8300","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-74.76494,41.055649,"medicare","Y"
"9",288,"314024","Hudson County Meadowview Psychiatric H","595 County Avenue","Secaucus","NJ",7094,"Hudson","(201) 369-5252","Psychiatric","Government - Local",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.056644,40.784251,"medicare","Y"
"10",378,"310044","Capital Health Medical Center - Hopewell","One Capital Way","Pennington","NJ",8534,"Mercer","(609) 303-4000","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
