Number,Cumulative Number,State,Region,Year,Spending (in Millions of Dollars),,,,
1,1,Alabama,Southeast,1991,261,,,Max Years,24
1,2,Alabama,Southeast,1992,429,,,,
1,3,Alabama,Southeast,1993,486,,,,
1,4,Alabama,Southeast,1994,533,,,,
1,5,Alabama,Southeast,1995,595,,,,
1,6,Alabama,Southeast,1996,623,,,,
1,7,Alabama,Southeast,1997,419,,,,
1,8,Alabama,Southeast,1998,566,,,,
1,9,Alabama,Southeast,1999,599,,,,
1,10,Alabama,Southeast,2000,792,,,,
1,11,Alabama,Southeast,2001,711,,,,
1,12,Alabama,Southeast,2002,778,,,,
1,13,Alabama,Southeast,2003,875,,,,
1,14,Alabama,Southeast,2004,946,,,,
1,15,Alabama,Southeast,2005,1138,,,,
1,16,Alabama,Southeast,2006,1046,,,,
1,17,Alabama,Southeast,2007,897,,,,
1,18,Alabama,Southeast,2008,1089,,,,
1,19,Alabama,Southeast,2009,1246,,,,
1,20,Alabama,Southeast,2010,2140,,,,
1,21,Alabama,Southeast,2011,1687,,,,
1,22,Alabama,Southeast,2012,2101,,,,
1,23,Alabama,Southeast,2013,1959,,,,
1,24,Alabama,Southeast,2014,2115,,,,
2,1,Alaska,Far West,1991,74,,,,
2,2,Alaska,Far West,1992,91,,,,
2,3,Alaska,Far West,1993,128,,,,
2,4,Alaska,Far West,1994,107,,,,
2,5,Alaska,Far West,1995,110,,,,
2,6,Alaska,Far West,1996,132,,,,
2,7,Alaska,Far West,1997,129,,,,
2,8,Alaska,Far West,1998,129,,,,
2,9,Alaska,Far West,1999,132,,,,
2,10,Alaska,Far West,2000,177,,,,
2,11,Alaska,Far West,2001,213,,,,
2,12,Alaska,Far West,2002,251,,,,
2,13,Alaska,Far West,2003,332,,,,
2,14,Alaska,Far West,2004,283,,,,
2,15,Alaska,Far West,2005,283,,,,
2,16,Alaska,Far West,2006,333,,,,
2,17,Alaska,Far West,2007,327,,,,
2,18,Alaska,Far West,2008,316,,,,
2,19,Alaska,Far West,2009,367,,,,
2,20,Alaska,Far West,2010,366,,,,
2,21,Alaska,Far West,2011,386,,,,
2,22,Alaska,Far West,2012,400,,,,
2,23,Alaska,Far West,2013,363,,,,
2,24,Alaska,Far West,2014,372,,,,
3,1,Arizona,Southwest,1991,608,,,,
3,2,Arizona,Southwest,1992,850,,,,
3,3,Arizona,Southwest,1993,854,,,,
3,4,Arizona,Southwest,1994,951,,,,
3,5,Arizona,Southwest,1995,937,,,,
3,6,Arizona,Southwest,1996,938,,,,
3,7,Arizona,Southwest,1997,944,,,,
3,8,Arizona,Southwest,1998,981,,,,
3,9,Arizona,Southwest,1999,1119,,,,
3,10,Arizona,Southwest,2000,1107,,,,
3,11,Arizona,Southwest,2001,1422,,,,
3,12,Arizona,Southwest,2002,1729,,,,
3,13,Arizona,Southwest,2003,1982,,,,
3,14,Arizona,Southwest,2004,2249,,,,
3,15,Arizona,Southwest,2005,2457,,,,
3,16,Arizona,Southwest,2006,2611,,,,
3,17,Arizona,Southwest,2007,2763,,,,
3,18,Arizona,Southwest,2008,2952,,,,
3,19,Arizona,Southwest,2009,3263,,,,
3,20,Arizona,Southwest,2010,3251,,,,
3,21,Arizona,Southwest,2011,3148,,,,
3,22,Arizona,Southwest,2012,3161,,,,
3,23,Arizona,Southwest,2013,3311,,,,
3,24,Arizona,Southwest,2014,3495,,,,
4,1,Arkansas,Southeast,1991,343,,,,
4,2,Arkansas,Southeast,1992,376,,,,
4,3,Arkansas,Southeast,1993,408,,,,
4,4,Arkansas,Southeast,1994,391,,,,
4,5,Arkansas,Southeast,1995,396,,,,
4,6,Arkansas,Southeast,1996,409,,,,
4,7,Arkansas,Southeast,1997,429,,,,
4,8,Arkansas,Southeast,1998,439,,,,
4,9,Arkansas,Southeast,1999,450,,,,
4,10,Arkansas,Southeast,2000,487,,,,
4,11,Arkansas,Southeast,2001,643,,,,
4,12,Arkansas,Southeast,2002,810,,,,
4,13,Arkansas,Southeast,2003,753,,,,
4,14,Arkansas,Southeast,2004,822,,,,
4,15,Arkansas,Southeast,2005,820,,,,
4,16,Arkansas,Southeast,2006,848,,,,
4,17,Arkansas,Southeast,2007,1003,,,,
4,18,Arkansas,Southeast,2008,973,,,,
4,19,Arkansas,Southeast,2009,1038,,,,
4,20,Arkansas,Southeast,2010,1311,,,,
4,21,Arkansas,Southeast,2011,1261,,,,
4,22,Arkansas,Southeast,2012,1304,,,,
4,23,Arkansas,Southeast,2013,1334,,,,
4,24,Arkansas,Southeast,2014,1565,,,,
5,1,California,Far West,1991,4880,,,,
5,2,California,Far West,1992,5176,,,,
5,3,California,Far West,1993,6100,,,,
5,4,California,Far West,1994,6369,,,,
5,5,California,Far West,1995,6951,,,,
5,6,California,Far West,1996,7704,,,,
5,7,California,Far West,1997,7519,,,,
5,8,California,Far West,1998,8130,,,,
5,9,California,Far West,1999,9595,,,,
5,10,California,Far West,2000,9054,,,,
5,11,California,Far West,2001,10804,,,,
5,12,California,Far West,2002,10453,,,,
5,13,California,Far West,2003,12850,,,,
5,14,California,Far West,2004,12559,,,,
5,15,California,Far West,2005,13412,,,,
5,16,California,Far West,2006,12771,,,,
5,17,California,Far West,2007,13159,,,,
5,18,California,Far West,2008,15217,,,,
5,19,California,Far West,2009,15533,,,,
5,20,California,Far West,2010,16557,,,,
5,21,California,Far West,2011,18160,,,,
5,22,California,Far West,2012,20237,,,,
5,23,California,Far West,2013,22734,,,,
5,24,California,Far West,2014,24761,,,,
