OBJECTID,STATE,LEVEL_,DEFINITION,SOURCE,SOURCEDATE
1,AK,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2019-05-16T00:00:00.000Z
2,AK,LEVEL IV,Level IV Trauma Centers are small rural facilities that provide initial evaluation and assessment of injured patients prior to transfer to a larger referral facility.,http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2019-05-16T00:00:00.000Z
3,AK,NOT DESIGNATED,Not designated.,http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2019-05-16T00:00:00.000Z
4,AL,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.alabamapublichealth.gov/aths/trauma-center-levels.html,2019-05-16T00:00:00.000Z
5,AL,LEVEL II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.alabamapublichealth.gov/aths/trauma-center-levels.html,2019-05-16T00:00:00.000Z
6,AL,LEVEL III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.alabamapublichealth.gov/aths/trauma-center-levels.html,2019-05-16T00:00:00.000Z
7,AR,LEVEL I,"Level I Trauma Centers provide comprehensive care to patients following injury.   Services include both medical and surgical specialties coordinated to achieve the best outcomes for the most severely injured patients.  Involved in professional and community education as well as IVP.  Also have additional responsibilites and requirements to provide sub-specialty services, such as cardiac, hand, and reconstructive surgery, and have a commitment to trauma research and graduate medical education.",https://www.healthy.arkansas.gov/images/uploads/rules/TraumaSystems.pdf,2019-05-16T00:00:00.000Z
8,AR,LEVEL II,Level II Trauma Centers provide comprehensive care to patients following injury.   Services include both medical and surgical specialties coordinated to achieve the best outcomes for the most severely injured patients.  Involved in professional and community education as well as IVP.,https://www.healthy.arkansas.gov/images/uploads/rules/TraumaSystems.pdf,2019-05-16T00:00:00.000Z
9,AR,LEVEL III,"The Level III trauma center (general) serves communities that do not have immediate access to a Level I or II institution. Level III trauma centers can provide prompt assessment, resuscitation, emergency operations, stabilization, and also arrange for transfer to a facility that can provide definitive trauma care. General surgeons and orthopedic surgeons are required in a Level III facility.",https://www.healthy.arkansas.gov/images/uploads/rules/TraumaSystems.pdf,2019-05-16T00:00:00.000Z
10,AR,LEVEL IV,"The Level IV trauma center (basic) is a rural medical treatment facility without continuous surgical availability that has a commitment to excellence in trauma care. Level IV centers have an organized program that defines the trauma patient and activates a multidisciplinary treatment team that is rapidly available to treat the injured patients using pre-determined clinical guidelines developed by the trauma system. A Level IV trauma center is expected to function at its clinical capability, which may exceed the minimum essential categorization criteria. For example, if a general surgeon is sometimes available, he/she shall be an active member of the trauma team. If he/she is on-call for the hospital and responsible for patient care, then the surgeon shall also be responsible for trauma patient care.",https://www.healthy.arkansas.gov/images/uploads/rules/TraumaSystems.pdf,2019-05-16T00:00:00.000Z
11,AZ,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/az-designated-trauma-centers.pdf,2019-05-16T00:00:00.000Z
12,AZ,LEVEL II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/az-designated-trauma-centers.pdf,2019-05-16T00:00:00.000Z
13,AZ,LEVEL III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/az-designated-trauma-centers.pdf,2019-05-16T00:00:00.000Z
14,AZ,LEVEL IV,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/az-designated-trauma-centers.pdf,2019-05-16T00:00:00.000Z
15,CA,LEVEL I,"Level I and II Trauma Centers have similar personnel, services, and resource requirements with the greatest difference being that Level Is are research and teaching facilities.",https://emsa.ca.gov/ems-systems-division-trauma-level-overview/,2019-05-16T00:00:00.000Z
16,CA,LEVEL II,"Level I and II Trauma Centers have similar personnel, services, and resource requirements with the greatest difference being that Level Is are research and teaching facilities.",https://emsa.ca.gov/ems-systems-division-trauma-level-overview/,2019-05-16T00:00:00.000Z
17,CA,LEVEL III,Level III and IV trauma centers generally provide initial stabilization of trauma patients with the greatest difference being surgical capabilities at the Level III facilities.,https://emsa.ca.gov/ems-systems-division-trauma-level-overview/,2019-05-16T00:00:00.000Z
18,CA,LEVEL IV,Level III and IV trauma centers generally provide initial stabilization of trauma patients with the greatest difference being surgical capabilities at the Level III facilities.,https://emsa.ca.gov/ems-systems-division-trauma-level-overview/,2019-05-16T00:00:00.000Z
19,CA,LEVEL I PEDIATRIC,Level I and II Pediatric Trauma Centers focus specifically on pediatric trauma patients. Level Is require some additional pediatric specialties and are research and teaching facilities.,https://emsa.ca.gov/ems-systems-division-trauma-level-overview/,2019-05-16T00:00:00.000Z
20,CA,LEVEL II PEDIATRIC,Level I and II Pediatric Trauma Centers focus specifically on pediatric trauma patients. Level Is require some additional pediatric specialties and are research and teaching facilities.,https://emsa.ca.gov/ems-systems-division-trauma-level-overview/,2019-05-16T00:00:00.000Z
21,CO,LEVEL I,"Level I Trauma Centers provide comprehensive care to patients following injury.   Services that include surgical specialties such as neurology and orthopedics, as well as non-surgical specialties such as psychiatry.  Rehabilitation services available.  High level of collaboration with community, research and education.",http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-4,2019-05-16T00:00:00.000Z
22,CO,LEVEL II,"Level II Trauma Center has high standards for organization, divisions, and equipment, including orthopedic surgery.  Capabilities for pediatrics and equipment for critical care unit. Physical therapy and social services provided, and participation in community activities.",http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-5,2019-05-16T00:00:00.000Z
23,CO,LEVEL III,"The Level III trauma center (general) serves communities that do not have immediate access to a Level I or II institution. Level III trauma centers can provide prompt assessment, resuscitation, emergency operations, stabilization, and also arrange for transfer to a facility that can provide definitive trauma care.",http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-6,2019-05-16T00:00:00.000Z
24,CO,LEVEL IV,Level IV trauma centers have equipment for stabilization of patients and participate in the broader trauma center network.,http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-7,2019-05-16T00:00:00.000Z
25,CO,LEVEL V,Level V trauma centers have equipment for stabilization of patients and participate in the broader trauma center network. May not always be open 24 hours.,http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-8,2019-05-16T00:00:00.000Z
26,CO,RPTC,Regional Pediatric Trauma Center.,http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-9,2019-05-16T00:00:00.000Z
27,CT,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.portal.ct.gov/DPH/Emergency-Medical-Services/EMS/Office-of-Emergency-Medical-Services-Homepage,2019-05-16T00:00:00.000Z
28,CT,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.portal.ct.gov/DPH/Emergency-Medical-Services/EMS/Office-of-Emergency-Medical-Services-Homepage,2019-05-16T00:00:00.000Z
29,CT,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.portal.ct.gov/DPH/Emergency-Medical-Services/EMS/Office-of-Emergency-Medical-Services-Homepage,2019-05-16T00:00:00.000Z
30,CT,LEVEL I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas and have pediatric specialists to ensure comprehensive care for pediatric patients. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.portal.ct.gov/DPH/Emergency-Medical-Services/EMS/Office-of-Emergency-Medical-Services-Homepage,2019-05-16T00:00:00.000Z
31,DC,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",https://dchealth.dc.gov/service/district-trauma-system,2019-05-16T00:00:00.000Z
32,DC,LEVEL I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dchealth.dc.gov/service/district-trauma-system,2019-05-16T00:00:00.000Z
33,DE,LEVEL 1,"A Regional Resource Trauma Center has the capability of providing System leadership and comprehensive, definitive care for every aspect of injury from prevention through rehabilitation.",http://dhss.delaware.gov/dhss/dph/ems/trauma.html,2019-05-16T00:00:00.000Z
34,DE,LEVEL 3,"A Community Trauma Center is capable of providing assessment, resuscitation, stabilization, and triage for all trauma patients, arranging for timely transfer of those patients requiring the additional resources of a Regional Trauma or Specialty Center, and delivering definitive care to those whose needs match the resources of this facility. Reciprocitymeans that Delaware's Division of Public Health has accepted the trauma center designation conferred by Maryland.",http://dhss.delaware.gov/dhss/dph/ems/trauma.html,2019-05-16T00:00:00.000Z
35,DE,LEVEL PEDIATRIC 1,"A Pediatric Regional Resource Trauma Center has the capability of providing comprehensive, definitive pediatric trauma care for the most severely injured children within its geographic area. It assumes a leadership role in the care for injured children within its Trauma System.",http://dhss.delaware.gov/dhss/dph/ems/trauma.html,2019-05-16T00:00:00.000Z
36,FL,LEVEL I,Level I Trauma Center is a comprehensive regional resource that is a tertiary care facility central to the trauma system. A Level I Trauma Center is capable of providing total care for every aspect of injury from prevention through rehabilitation.,http://www.floridahealth.gov/licensing-and-regulation/trauma-system/_documents/traumacntrstandpamphlet150-9-2009rev1-14-10.pdf,2019-05-16T00:00:00.000Z
37,FL,LEVEL II,A Level II Trauma Center is able to initiate definitive care for all injured patients.,http://www.floridahealth.gov/licensing-and-regulation/trauma-system/_documents/traumacntrstandpamphlet150-9-2009rev1-14-10.pdf,2019-05-16T00:00:00.000Z
38,FL,LEVEL PEDIATRIC,"A Pediatric Trauma Center has the capability of providing leadership and comprehensive, definitive pediatric trauma care for the most severely injured children within its geographic area.",http://www.floridahealth.gov/licensing-and-regulation/trauma-system/_documents/traumacntrstandpamphlet150-9-2009rev1-14-10.pdf,2019-05-16T00:00:00.000Z
39,GA,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dph.georgia.gov/designated-trauma-specialty-care-centers,2019-05-16T00:00:00.000Z
40,GA,LEVEL II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dph.georgia.gov/designated-trauma-specialty-care-centers,2019-05-16T00:00:00.000Z
41,GA,LEVEL III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dph.georgia.gov/designated-trauma-specialty-care-centers,2019-05-16T00:00:00.000Z
42,GA,LEVEL IV,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dph.georgia.gov/designated-trauma-specialty-care-centers,2019-05-16T00:00:00.000Z
43,GA,LEVEL I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dph.georgia.gov/designated-trauma-specialty-care-centers,2019-05-16T00:00:00.000Z
44,GA,LEVEL II PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dph.georgia.gov/designated-trauma-specialty-care-centers,2019-05-16T00:00:00.000Z
45,GA,LEVEL III PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://dph.georgia.gov/designated-trauma-specialty-care-centers,2019-05-16T00:00:00.000Z
46,HI,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://data.hawaii.gov/Health/Hospitals-in-Hawaii/rwns-g4bn,2019-05-16T00:00:00.000Z
47,HI,LEVEL III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://data.hawaii.gov/Health/Hospitals-in-Hawaii/rwns-g4bn,2019-05-16T00:00:00.000Z
48,IA,LEVEL I,Level I Trauma Center is a comprehensive regional resource that is a tertiary care facility central to the trauma system. A Level I Trauma Center is capable of providing total care for every aspect of injury from prevention through rehabilitation.,http://idph.iowa.gov/Portals/1/userfiles/61/Trauma%20Care%20Facility%20Directory%202016.pdf,2019-05-16T00:00:00.000Z
49,IA,LEVEL II,A Level II Trauma Center is able to initiate definitive care for all injured patients.,https://idph.iowa.gov/Portals/1/Files/BETS/Iowa%20Trauma%20System%20Regional%20%28Level%20II%29%20Hospital%20and%20Emergency%20Care%20Facility%20Categorization%20Criteria%20%282013%29.pdf,2019-05-16T00:00:00.000Z
50,IA,LEVEL III,"A Level III Trauma Center has demonstrated an ability to provide prompt assessment, resuscitation, surgery, intensive care and stabilization of injured patients and emergency operations.",https://idph.iowa.gov/Portals/1/Files/BETS/Iowa%20Trauma%20System%20Area%20(Level%20III)%20Hospital%20and%20Emergency%20Care%20Facility%20Categorization%20Criteria%20(2013).pdf,2019-05-16T00:00:00.000Z
51,IA,LEVEL IV,"A Level IV Trauma Center has demonstrated an ability to provide advanced trauma life support (ATLS) prior to transfer of patients to a higher level trauma center.  It provides evaluation, stabilization, and diagnostic capabilities for injured patients.",https://www.idph.iowa.gov/Portals/1/Files/BETS/Iowa%20Trauma%20System%20Community%20(Level%20IV)%20Hospital%20and%20Emergency%20Care%20Facility%20Categorization%20Criteria%20(2013).pdf,2019-05-16T00:00:00.000Z
52,IA,LEVEL I PEDIATRIC,Capable of providing total care for every aspect of pediatric injury from prevention through rehabilitation.,http://idph.iowa.gov/Portals/1/userfiles/61/Trauma%20Care%20Facility%20Directory%202016.pdf,2019-05-16T00:00:00.000Z
53,IA,LEVEL II PEDIATRIC,Able to initiate definitive care for all injured pediatric patients.,http://idph.iowa.gov/Portals/1/userfiles/61/Trauma%20Care%20Facility%20Directory%202016.pdf,2019-05-16T00:00:00.000Z
54,ID,LEVEL II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2019-05-16T00:00:00.000Z
55,ID,LEVEL III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2019-05-16T00:00:00.000Z
56,IL,LEVEL I,"A hospital participating in an approved EMS System and designated by the Illinois Department of Public Health to provide optimal care to trauma patients and to provide all essential services in-house, 24 hours per day",http://www.dph.illinois.gov/topics-services/emergency-preparedness-response/ems/trauma-program,2019-05-16T00:00:00.000Z
57,IL,LEVEL II,"A hospital participating in an approved EMS System and designated by the Illinois Department of Public Health to provide optimal care to trauma patients, to provide some essential services available in-house 24 hours per day, and to provide other essential services readily available 24 hours a day",http://www.dph.illinois.gov/topics-services/emergency-preparedness-response/ems/trauma-program,2019-05-16T00:00:00.000Z
58,IL,LEVEL I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.dph.illinois.gov/topics-services/emergency-preparedness-response/ems/trauma-program/centersByReg,2019-05-16T00:00:00.000Z
59,IL,LEVEL II PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.dph.illinois.gov/topics-services/emergency-preparedness-response/ems/trauma-program/centersByReg,2019-05-16T00:00:00.000Z
60,IN,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.state.in.us/isdh/24972.htm,2019-05-16T00:00:00.000Z
61,IN,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.state.in.us/isdh/24972.htm,2019-05-16T00:00:00.000Z
