id,name,telephone,address,city,state,zip,county,emergtitle,emergtel,emergext,naics_code,naics_desc,long,lat,st_vendor,st_version,geoprec,phoneloc,qc_qa,ucaoa_id,overall_type
10425878,Fair Oaks Medical Center Walk In Care - Fairfax Station,703-495-9148,"9015 Silverbrook Road, Suite 106",Fairfax Station,VA,22039,Fairfax,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.2574691,38.7270929,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10425962,Baptist Urgent Care - Lakewood,904-737-8686,"5978 Powers Avenue,  ",Jacksonville,FL,32217,Duval,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.621804,30.2624098,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10194027,Stat Md Professional Limited Liabilities Company,516-352-7828,"2029 Jericho Turnpike,  ",New Hyde Park,NY,11040,Nassau,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.6739675,40.7359742,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_2802,urgent care
10192939,Waldorf Family Medical Center - Pediatric After Hours,301-843-0222,"10 Saint Patricks Drive, Suite 203",Waldorf,MD,20603,Charles,NA,301-645-1414,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-76.9205881,38.6179785,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_1879,urgent care
11522802,Fredericksburg Walk In Medical Center,540-785-8018,"4117 Plank Road,  ",Fredericksburg,VA,22407,Spotsylvania,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.5335785,38.2910913,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10421620,Glynn Immediate Care Center,912-466-5801,"3400 Parkwood Drive,  ",Brunswick,GA,31520,Glynn,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.4737896,31.17199,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_1324,urgent care
11527294,Rye Walk In Medical Center,914-967-3266,"150 Purchase Street,  ",Rye,NY,10580,Westchester,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.6837411,40.9870767,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11527261,Topsail Family Medicine And Urgent Care,910-270-0052,"16747 United States Highway 17 North, Suite 114",Hampstead,NC,28443,Pender,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.6861888,34.3891219,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11527296,Rapha Primary Care,910-864-4357,"1905 Skibo Road,  ",Fayetteville,NC,28314,Cumberland,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-78.9654044,35.0697313,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11527271,Clinton Urgent Care,910-592-9113,"1004 Beaman Street,  ",Clinton,NC,28328,Sampson,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-78.3257295,35.0136171,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10196497,Primary Medical Associates,843-238-5654,"1413 United States Highway 17 Business Route North,  ",Surfside Beach,SC,29575,Horry,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-78.9914173,33.6018551,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3247,urgent care
11513047,Northern Urgent Care Center,718-939-5900,"164-18 Northern Boulevard,  ",Flushing,NY,11358,Queens,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.8017759,40.7602477,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11513029,Rapid Medical Center,718-626-6010,"3316 Broadway,  ",Long Island City,NY,11106,Queens,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.9233379,40.7608298,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10844388,Your Docs In - Easton,410-820-0581,"8163 Ocean Gateway,  ",Easton,MD,21601,Talbot,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-76.0597189,38.7733639,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11241518,Pain And Urgent Care Center,954-426-9600,"100 South Military Trail, Suite 10",Deerfield Beach,FL,33442,Broward,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.1274946,26.3164673,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10843355,Heathrow Urgent Care,407-804-9494,"1125 Townpark Avenue,  ",Lake Mary,FL,32746,Seminole,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.3566634,28.787916,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10421622,Physicians Immediate Med,770-423-0000,"2481 George Busbee Parkway, Suite 110 Town Center Mall",Kennesaw,GA,30144,Cobb,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.5655929,34.0123656,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_1326,urgent care
10843969,Concentra Urgent Care - Lanham,301-459-9113,"4451 Parliament Place, Suite G",Lanham,MD,20706,Prince Georges,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-76.8354658,38.9506351,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10192192,First Choice Walk-In Clinic,859-543-1116,"3090 Helmsdale Place, Suite B310",Lexington,KY,40509,Fayette,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.4218564,38.0110247,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_1771,urgent care
10422266,Lewis-Gale Valley View Clinic,540-265-1670,"4910 Valley View Boulevard Northwest,  ",Roanoke,VA,24012,Roanoke City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-79.9680582,37.3047758,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_3757,urgent care
10993591,Dayton Medical Center,305-931-8484,"18600 Collins Avenue,  ",Sunny Isles,FL,33160,Miami-Dade,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.1211815,25.9486985,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
